"Year","Occupation","Total_Number","Men_Number","Women_Number","Total_MedianEarnings","Men_MedianEarnings","Women_MedianEarnings"
2013,"...Maids and housekeeping cleaners",737561,127620,609941,"20,422",24397,19752
2013,"...Office clerks, general",729066,127739,601327,"32,439",36371,32155
2013,"...Receptionists and information clerks",657793,63049,594744,"27,345",29454,27222
2013,"....Financial managers",990611,460842,529769,"70,456",90278,57406
2013,"...Childcare workers",536474,29929,506545,"20,056",21832,19931
2013,"Social workers",627085,124774,502311,"41,940",42821,41795
2013,"..Protective Service Occupations:",2494739,1998665,496074,"49,316",51159,40760
2013,"...Personal care aides",576620,105440,471180,"21,898",24244,21557
2013,"...Waiters and waitresses",680777,243097,437680,"20,980",23802,19524
2013,"....Education administrators",708239,272330,435909,"66,889",78115,60580
2013,"..Material Moving Occupations:",2360476,1931262,429214,"28,861",30415,23419
2013,"Human resources workers",571108,158154,412954,"54,989",63034,51765
2013,"...Cooks",1111982,700025,411957,"20,319",21063,18581
2013,"...Life, Physical, and Social Science Occupations:",946702,539201,407501,"62,089",66913,57617
2013,"...Licensed practical and licensed vocational nurses",442709,43277,399432,"40,031",42442,39562
2013,"...Hairdressers, hairstylists, and cosmetologists",434564,52142,382422,"24,855",31224,23943
2013,"Postsecondary teachers",836986,457786,379200,"65,463",71414,60359
2013,"....Medical and health services managers",546042,171661,374381,"69,563",84450,64765
2013,"...Janitors and building cleaners",1519858,1149371,370487,"26,845",29685,21592
2013,".Natural Resources, Construction, and Maintenance Occupations:",9447149,9083555,363594,"40,492",40696,30351
2013,"...Billing and posting clerks",386492,39847,346645,"32,487",37351,32267
2013,"..Transportation Occupations:",3637658,3296719,340939,"40,594",41222,30304
2013,"Counselors",482328,146849,335479,"42,349",42299,42369
2013,"....Food service managers",740359,407357,333002,"36,586",41164,31578
2013,"Teacher assistants",371321,44030,327291,"21,125",25873,20748
2013,"...Office and administrative support workers, all other",428493,103715,324778,"38,662",44833,36981
2013,"...Architecture and Engineering Occupations:",2314006,1995495,318511,"76,706",79244,64961
2013,"....Marketing and sales managers",754514,440078,314436,"78,455",91998,65040
2013,"Preschool and kindergarten teachers",316025,8298,307727,"24,347",30067,24257
2013,"...Medical assistants",330718,24072,306646,"28,760",29894,28661
2013,"Secondary school teachers",541598,240315,301283,"50,810",52819,49048
2013,"....General and operations managers",977284,681627,295657,"73,557",81041,60759
2013,"Lawyers",852860,568201,284659,"120,617",127337,101640
2013,"...Miscellaneous assemblers and fabricators",766770,484475,282295,"30,561",32026,26899
2013,"...First-line supervisors of non-retail sales workers",1030338,751705,278633,"60,403",61556,53770
2013,"...Stock clerks and order fillers",814645,536330,278315,"26,489",27032,25493
2013,"...Health practitioner support technologists and technicians",350939,73031,277908,"31,788",35640,31292
2013,"...Sales representatives, wholesale and manufacturing",1129716,857038,272678,"61,355",63861,51986
2013,"Paralegals and legal assistants",307815,45422,262393,"46,562",50498,46061
2013,"...Real estate brokers and sales agents",513527,253865,259662,"50,914",60775,42294
2013,"Designers",552419,303391,249028,"50,461",55658,44269
2013,"Management analysts",589692,346499,243193,"80,220",89151,72006
2013,"...Physicians and surgeons",737546,495061,242485,"182,232",202533,140036
2013,"Chief executives",1024259,782400,241859,"120,254",126142,95921
2013,"...Insurance claims and policy processing clerks",289881,54892,234989,"36,090",40293,35574
2013,"...Production workers, all other",881828,653314,228514,"32,491",36237,26505
2013,"...Inspectors, testers, sorters, samplers, and weighers",623203,397579,225624,"38,673",43551,31043
2013,"....Property, real estate, and community association managers",414232,203818,210414,"47,936",57059,41743
2013,"...Tellers",233474,26160,207314,"25,260",25564,25222
2013,"...Laborers and freight, stock, and material movers, hand",1211599,1009313,202286,"29,722",30531,24953
2013,"...First-line supervisors of food preparation and serving workers",374711,176476,198235,"24,828",27453,22506
2013,"...Insurance sales agents",429706,235417,194289,"50,238",61639,41250
2013,"Other teachers and instructors",359794,169655,190139,"43,740",50250,40132
2013,"...Word processors and typists",217182,29544,187638,"32,507",36294,32208
2013,"...Data entry keyers",235336,51507,183829,"31,745",35544,31236
2013,"Software developers, applications and systems software",924888,741308,183580,"94,025",96868,83808
2013,"....Social and community service managers",279952,96503,183449,"55,473",62367,51933
2013,"....Human resources managers",307004,125240,181764,"67,669",75328,64662
2013,"...Clinical laboratory technologists and technicians",245751,65488,180263,"45,326",46941,44623
2013,"...Diagnostic related technologists and technicians",237127,74756,162371,"55,482",60703,52950
2013,"Computer systems analysts",441538,280626,160912,"75,886",81174,69346
2013,"...Food preparation workers",302338,142050,160288,"19,063",19870,18376
2013,"Claims adjusters, appraisers, examiners, and investigators",257730,98587,159143,"51,134",60097,46520
2013,"Credit counselors and loan officers",285649,130778,154871,"54,535",69726,46394
2013,"...Production, planning, and expediting clerks",267453,115532,151921,"44,865",56437,37246
2013,"...Sales representatives, services, all other",497043,346088,150955,"60,174",65763,48984
2013,"...Security guards and gaming surveillance officers",668775,518657,150118,"30,421",30546,29883
2013,"...Packers and packagers, hand",273503,123631,149872,"21,661",22711,20876
2013,"...First-line supervisors of production and operating workers",802370,656622,145748,"51,796",54494,40815
2013,"...File clerks",189148,44248,144900,"32,442",35594,31976
2013,"Special education teachers",165928,25578,140350,"47,264",46932,47378
2013,"..Installation, Maintenance, and Repair Occupations:",3860624,3721190,139434,"43,450",43781,40347
2013,"...Dental assistants",147438,8460,138978,"30,308",26823,30399
2013,"....Computer and information systems managers",489048,354369,134679,"99,167",101318,90940
2013,"Market research analysts and marketing specialists",230432,102417,128015,"128,015",80508,60673
2013,"...Dispatchers",235227,108901,126326,"36,730",41363,34067
2013,"...Miscellaneous personal appearance workers",159831,33519,126312,"21,724",22047,21632
2013,"...Shipping, receiving, and traffic clerks",445945,322035,123910,"30,682",31401,27939
2013,"...Payroll and timekeeping clerks",138447,15290,123157,"39,268",41838,38923
2013,"Computer support specialists",458736,339470,119266,"52,063",53960,49001
2013,"..Construction and Extraction Occupations:",4960836,4841705,119131,"40,003",40078,33236
2013,"Business operations specialists, all other",211970,98399,113571,"56,945",67442,51378
2013,"Purchasing agents, except wholesale, retail, and farm products",220927,107988,112939,"54,632",60957,50058
2013,"Miscellaneous legal support workers",148521,40412,108109,"46,748",60958,43663
2013,"...Pharmacists",205734,98972,106762,"116,468",120792,111809
2013,"...Driver/sales workers and truck drivers",2472147,2365886,106261,"40,588",40865,27657
2013,"...Bailiffs, correctional officers, and jailers",387955,281897,106058,"42,043",45432,37042
2013,"...Packaging and filling machine operators and tenders",198721,92772,105949,"25,434",28528,22809
2013,"..Farming, Fishing, and Forestry Occupations:",625689,520660,105029,"25,086",26271,18998
2013,"...Bus drivers",275991,174830,101161,"32,725",37569,27180
2013,"...Bill and account collectors",142343,42195,100148,"33,453",36784,32234
2013,"...Bartenders",203401,104261,99140,"26,403",28682,23849
2013,"...Sewing machine operators",134443,36754,97689,"20,788",22855,20430
2013,"Compliance officers",193020,95524,97496,"62,311",66724,60054
2013,"Librarians",111952,19727,92225,"48,892",51879,48005
2013,"...Loan interviewers and clerks",116281,25344,90937,"39,905",41750,38807
2013,"...Postal service mail carriers",251980,161216,90764,"55,923",57073,52085
2013,"...Recreation and fitness workers",163532,72807,90725,"31,044",35636,28203
2013,"...Physical therapists",136392,49118,87274,"72,260",80411,70509
2013,"Personal financial advisors",283136,196273,86863,"82,142",98126,60359
2013,"...Police and sheriff's patrol officers",623338,539272,84066,"61,313",61694,56541
2013,"Wholesale and retail buyers, except farm products",170412,86522,83890,"42,170",41619,42990
2013,"...Sales and related workers, all other",186390,103486,82904,"51,489",61045,44956
2013,"...Medical records and health information technicians",90186,9831,80355,"31,530",36960,31126
2013,"....Purchasing managers",175540,96499,79041,"71,237",81528,62785
2013,"Psychologists",115139,37071,78068,"66,764",76903,62146
2013,"Computer occupations, all other",354952,277889,77063,"66,550",66971,65329
2013,"...Advertising sales agents",155726,78938,76788,"51,283",60522,45378
2013,"Computer programmers",374314,298175,76139,"80,512",81508,75088
2013,"...Miscellaneous therapists, including exercise physiologists",99008,24425,74583,"46,743",50295,46040
2013,"Social and human service assistants",94377,20048,74329,"35,643",34967,35766
2013,"...Speech-language pathologists",77904,3626,74278,"60,695",68346,60552
2013,"...Combined food preparation and serving workers, including fast food",114984,41054,73930,"19,623",20150,19325
2013,"...Nurse practitioners",81140,8332,72808,"91,766",106141,91276
2013,"...Nonfarm animal caretakers",103783,31762,72021,"24,547",25025,24401
2013,"...Information and record clerks, all other",85226,14182,71044,"36,818",41589,36352
2013,"...Securities, commodities, and financial services sales agents",226082,157344,68738,"76,524",93795,51284
2013,"...Miscellaneous agricultural workers",451767,383111,68656,"23,324",24602,17713
2013,"...Metal workers and plastic workers, all other",317561,249208,68353,"32,471",35514,26963
2013,"...Interviewers, except eligibility and loan",84440,16624,67816,"31,180",35424,30395
2013,"...Healthcare support workers, all other, including medical equipment preparers",94391,28907,65484,"28,604",32130,26452
2013,"...Laundry and dry-cleaning workers",111926,47034,64892,"21,137",24752,19203
2013,"...Physician assistants",100572,35720,64852,"81,522",93791,76396
2013,"Physical scientists, all other",171530,106686,64844,"74,592",85195,61217
2013,"...Phlebotomists",75727,11061,64666,"31,062",34855,30732
2013,"...Bakers",131066,67099,63967,"23,666",26114,22040
2013,"Engineering technicians, except drafters",371566,307644,63922,"54,623",56847,43517
2013,"Meeting, convention, and event planners",78856,15208,63648,"47,088",47876,46973
2013,"Writers and authors",121198,57902,63296,"53,964",60192,51219
2013,"Other education, training, and library workers",88624,26398,62226,"51,516",55834,50756
2013,"Insurance underwriters",94336,33432,60904,"58,402",75372,52283
2013,"Medical scientists",112826,53210,59616,"71,375",80113,66860
2013,"...First-line supervisors of housekeeping and janitorial workers",182546,123092,59454,"35,629",41180,26860
2013,"Public relations specialists",97408,38545,58863,"63,966",76638,58483
2013,"...Dental hygienists",61825,3320,58505,"52,043",53709,51972
2013,"Operations research analysts",123636,65206,58430,"77,172",86748,68925
2013,"Editors",117721,59523,58198,"52,746",55899,51884
2013,"...Financial clerks, all other",95267,37438,57829,"50,176",67732,42122
2013,"...Court, municipal, and license clerks",70610,13198,57412,"36,977",42192,35585
2013,"...Miscellaneous health technologists and technicians",90586,33686,56900,"41,660",47830,39277
2013,"Training and development specialists",105954,50856,55098,"52,417",59310,50024
2013,"...Electrical, electronics, and electromechanical assemblers",116834,61800,55034,"30,144",31243,27385
2013,"...Dietitians and nutritionists",61437,7250,54187,"47,997",49001,47717
2013,"....Farmers, ranchers, and other agricultural managers",499775,446121,53654,"40,638",41691,25310
2013,"...Occupational therapists",59239,6903,52336,"68,270",75740,67164
2013,"...Respiratory therapists",84482,32234,52248,"54,303",60677,51864
2013,"...Order clerks",85033,33587,51446,"31,732",33757,31216
2013,"...First-line supervisors of personal service workers",98491,47150,51341,"33,932",40006,30871
2013,"...Eligibility interviewers, government programs",65971,14730,51241,"41,398",50400,40071
2013,"...Chefs and head cooks",303612,252537,51075,"30,267",30810,25534
2013,"Engineers, all other",439749,388864,50885,"90,913",91800,81702
2013,"Clergy",339774,289076,50698,"44,422",45350,40754
2013,"...Hotel, motel, and resort desk clerks",76241,27058,49183,"21,564",21995,21329
2013,"....Lodging managers",96419,47382,49037,"41,824",50610,36533
2013,"...Butchers and other meat, poultry, and fish processing workers",203134,154517,48617,"26,999",29333,22876
2013,"...Reservation and transportation ticket agents and travel clerks",86373,38370,48003,"36,454",40755,35344
2013,"...Postal service clerks",94064,47005,47059,"53,357",54166,52574
2013,"...Emergency medical technicians and paramedics",157684,110916,46768,"41,670",43647,37023
2013,"Miscellaneous life, physical, and social science technicians",100831,55051,45780,"44,561",48138,40792
2013,"Fundraisers",63985,18678,45307,"60,802",69292,57730
2013,"...Food servers, nonrestaurant",69554,24402,45152,"23,025",23729,22775
2013,"...Human resources assistants, except payroll and timekeeping",54580,9723,44857,"40,081",42293,37643
2013,"Producers and directors",117967,73980,43987,"63,715",62368,66226
2013,"...Massage therapists",57261,13680,43581,"29,253",29272,29240
2013,"Miscellaneous community and social service specialists, including health educators and community health workers",68388,25669,42719,"41,900",47966,39620
2013,"Artists and related workers",116825,75425,41400,"49,197",54669,37261
2013,"....Industrial production managers",218198,177200,40998,"72,414",74623,65033
2013,"Probation officers and correctional treatment specialists",83568,42704,40864,"45,909",47561,44385
2013,"Web developers",136446,95672,40774,"60,056",61566,53995
2013,"Database administrators",101323,61969,39354,"75,824",84609,61378
2013,"Compensation, benefits, and job analysis specialists",53127,13895,39232,"50,968",61089,47927
2013,"....Administrative services managers",109703,72873,36830,"62,187",66579,55079
2013,"...Travel agents",46577,9963,36614,"37,233",40408,36746
2013,"Industrial engineers, including health and safety",172367,136669,35698,"75,131",76487,66498
2013,"...Hosts and hostesses, restaurant, lounge, and coffee shop",42666,7262,35404,"18,040",23444,17260
2013,"Network and computer systems administrators",195372,160376,34996,"67,246",68363,61699
2013,"....Construction managers",469706,434849,34857,"68,101",69556,62198
2013,"...Grounds maintenance workers",728064,693654,34410,"23,545",23639,21996
2013,"...Computer operators",78265,43996,34269,"42,028",48966,37288
2013,"...Printing workers, except prepress technicians and workers",169498,135466,34032,"34,992",36916,26679
2013,"Logisticians",97563,63756,33807,"52,109",54698,50410
2013,"....Transportation, storage, and distribution managers",185512,151841,33671,"52,058",52017,52259
2013,"Tax examiners and collectors, and revenue agents",50960,17617,33343,"49,380",66754,45704
2013,"...Flight attendants",43455,10842,32613,"42,687",51594,41168
2013,"...Physical therapist assistants and aides",44581,12122,32459,"41,994",46313,41098
2013,"Financial specialists, all other",58785,26520,32265,"61,323",81859,48869
2013,"Photographers",80489,48494,31995,"38,052",44513,30455
2013,"...Postal service mail sorters, processors, and processing machine operators",61856,30285,31571,"53,497",54885,52637
2013,"Architects, except naval",145439,114341,31098,"71,305",75395,60518
2013,"Athletes, coaches, umpires, and related workers",114456,83451,31005,"43,373",46602,36682
2013,"...Gaming services workers",64709,33752,30957,"36,477",37441,35023
2013,"...Dining room and cafeteria attendants and bartender helpers",86785,56021,30764,"19,562",20378,17663
2013,"...Medical transcriptionists",31868,1221,30647,"31,933",40429,31772
2013,"...Food processing workers, all other",95533,65550,29983,"31,292",32439,27983
2013,"...Medical, dental, and ophthalmic laboratory technicians",64031,34102,29929,"33,779",37346,30704
2013,"...Tailors, dressmakers, and sewers",42018,12251,29767,"22,621",27459,21759
2013,"...Detectives and criminal investigators",117375,87855,29520,"71,169",75025,59386
2013,"...Supervisors of transportation and material moving workers",185456,156031,29425,"50,107",51339,40904
2013,"...Private detectives and investigators",68657,39367,29290,"50,892",56439,45436
2013,"...Credit authorizers, checkers, and clerks",40119,10893,29226,"36,579",50853,35037
2013,"Civil engineers",257802,228722,29080,"81,233",81911,71854
2013,"Biological scientists",60924,31860,29064,"57,426",57653,57107
2013,"...Industrial truck and tractor operators",428059,399291,28768,"31,000",31002,30981
2013,"...Veterinarians",57599,29223,28376,"86,490",96582,80681
2013,"Chemists and materials scientists",71161,42953,28208,"69,780",71853,65582
2013,"...Food batchmakers",56485,28317,28168,"27,131",31811,24268
2013,"....Public relations and fundraising managers",44198,16141,28057,"74,114",90071,66052
2013,"...Other healthcare practitioners and technical occupations",72636,44786,27850,"55,942",60786,47405
2013,"...Telemarketers",44182,16477,27705,"25,628",26440,25257
2013,"...Library assistants, clerical",33132,5578,27554,"28,558",30889,27952
2013,"Miscellaneous media and communication workers",45120,17870,27250,"42,033",46135,40256
2013,"...Opticians, dispensing",39047,11901,27146,"35,580",42128,32267
2013,"Tax preparers",51485,24538,26947,"56,047",70641,47997
2013,"Budget analysts",41799,14880,26919,"70,429",78667,65830
2013,"...Cleaners of vehicles and equipment",197864,171164,26700,"23,751",23605,24793
2013,"...Weighers, measurers, checkers, and samplers, recordkeeping",61712,35803,25909,"35,476",40651,30345
2013,"Appraisers and assessors of real estate",75414,49592,25822,"55,227",61056,45643
2013,"...Construction laborers",986693,961321,25372,"31,027",31066,27927
2013,"....Advertising and promotions managers",43015,17775,25240,"61,371",75190,55860
2013,"...First-line supervisors of gaming workers",58437,33458,24979,"41,245",45980,37178
2013,"...Welding, soldering, and brazing workers",488957,464041,24916,"38,137",39281,26893
2013,"...Mail clerks and mail machine operators, except postal service",54267,29670,24597,"29,276",30238,28308
2013,"Technical writers",43977,19964,24013,"69,242",75598,61511
2013,"Judges, magistrates, and other judicial workers",55881,32209,23672,"100,619",115636,83173
2013,"News analysts, reporters and correspondents",52566,29289,23277,"50,711",55156,45994
2013,"...Dentists",97562,74382,23180,"141,557",151071,102460
2013,"...Door-to-door sales workers, news and street vendors, and related workers",55838,33591,22247,"25,624",29469,23312
2013,"Religious workers, all other",41694,19827,21867,"36,496",40454,35612
2013,"Drafters",124267,102941,21326,"51,609",52296,47123
2013,"...Counter and rental clerks",45567,24387,21180,"27,373",27449,27194
2013,"...Telephone operators",28046,6893,21153,"29,587",31822,27360
2013,"....Training and development managers",41185,20111,21074,"74,735",80754,71091
2013,"...Graders and sorters, agricultural products",32773,11741,21032,"20,420",23490,18099
2013,"Financial analysts",65367,44484,20883,"84,140",100081,63424
2013,"...Taxi drivers and chauffeurs",196209,175350,20859,"26,200",26763,21521
2013,"...Miscellaneous entertainment attendants and related workers",47151,26402,20749,"25,143",25928,24154
2013,"...Couriers and messengers",151599,130948,20651,"37,808",39789,30480
2013,"Environmental scientists and geoscientists",65341,45052,20289,"71,065",77333,61583
2013,"...Computer, automated teller, and office machine repairers",176644,156442,20202,"42,430",43137,39601
2013,"...Counter attendants, cafeteria, food concession, and coffee shop",30891,10920,19971,"17,544",20304,16771
2013,"...First-line supervisors of protective service workers, all other",73041,53093,19948,"47,876",50239,44965
2013,"...Procurement clerks",32617,13441,19176,"50,876",65297,45564
2013,"...Veterinary assistants and laboratory animal caretakers",23366,4416,18950,"22,858",26551,22461
2013,"Archivists, curators, and museum technicians",31925,13316,18609,"51,704",58285,46130
2013,"Directors, religious activities and education",34970,16961,18009,"40,736",43053,38681
2013,"...Maintenance and repair workers, general",449977,432709,17268,"41,557",41683,36185
2013,"...First-line supervisors of mechanics, installers, and repairers",243639,226658,16981,"56,777",57076,52927
2013,"...First-line supervisors of construction trades and extraction workers",601644,584749,16895,"55,843",56164,43878
2013,"Chemical technicians",51689,34926,16763,"50,982",51831,47360
2013,"...Painters, construction and maintenance",326717,310089,16628,"30,027",30131,26453
2013,"Electrical and electronics engineers",180122,163656,16466,"91,895",93351,81167
2013,"...Pharmacy aides",22034,5644,16390,"29,851",30645,29383
2013,"...Switchboard operators, including answering service",20377,4152,16225,"25,878",33816,23936
2013,"Miscellaneous social scientists and related workers, including sociologists",32080,15884,16196,"59,540",68632,52123
2013,"...Dishwashers",102959,86995,15964,"17,307",17302,17332
2013,"....Postmasters and mail superintendents",28282,12394,15888,"65,191",77465,56317
2013,"...Pressers, textile, garment, and related materials",25595,10309,15286,"21,701",27268,20168
2013,"Statisticians",31319,16117,15202,"81,209",87488,74291
2013,"...First-line supervisors of police and detectives",102581,87467,15114,"73,155",75566,65227
2013,"...Residential advisors",24461,9448,15013,"26,098",27339,25074
2013,"...Lifeguards and other recreational, and all other protective service workers",32041,17049,14992,"30,781",32037,27889
2013,"...Personal care and service workers, all other",48690,33740,14950,"25,529",26597,21820
2013,"...First-line supervisors of correctional officers",49105,34261,14844,"49,986",54853,44324
2013,"...Animal trainers",27354,12684,14670,"27,188",29644,26400
2013,"Mechanical engineers",206515,191858,14657,"79,565",80193,72416
2013,"Cost estimators",105744,91484,14260,"57,333",60249,49443
2013,"...Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",75234,61087,14147,"31,664",32671,26923
2013,"...Machinists",330090,316382,13708,"45,163",45549,31887
2013,"...Radio and telecommunications equipment installers and repairers",142862,129293,13569,"52,061",52209,45468
2013,"...Nurse anesthetists",21664,8259,13405,"147,152",150870,142185
2013,"Credit analysts",23011,9607,13404,"53,869",56903,51602
2013,"...Baggage porters, bellhops, and concierges",59390,46419,12971,"31,416",31799,30572
2013,"Library technicians",16163,3583,12580,"31,698",38063,31014
2013,"...Automotive and watercraft service attendants",67748,55406,12342,"22,312",22729,20516
2013,"Musicians, singers, and related workers",60370,48227,12143,"42,746",42988,42279
2013,"Aerospace engineers",117942,105914,12028,"100,701",101260,90023
2013,"....Architectural and engineering managers",132575,120777,11798,"121,336",121690,113507
2013,"...Office machine operators, except computer",24326,12575,11751,"32,321",35302,31192
2013,"...Photographic process workers and processing machine operators",25840,14124,11716,"26,166",31888,21348
2013,"....Compensation and benefits managers",14656,3387,11269,"71,927",97552,68207
2013,"...Statistical assistants",17346,6145,11201,"41,311",46090,40058
2013,"...Barbers",68648,57663,10985,"21,874",22321,18509
2013,"Agents and business managers of artists, performers, and athletes",28413,17494,10919,"51,244",51910,47043
2013,"...Prepress technicians and workers",23527,12712,10815,"32,464",38946,28806
2013,"...Carpenters",677720,667276,10444,"34,496",34698,26702
2013,"...Painting workers",101860,91461,10399,"32,285",33422,28032
2013,"...Firefighters",256196,246017,10179,"62,189",62361,57346
2013,"Information security analysts",50853,40681,10172,"84,140",86349,80245
2013,"...New accounts clerks",13217,3094,10123,"34,776",47191,31894
2013,"...Electricians",583544,573504,10040,"49,969",50029,41299
2013,"...Cutting workers",49849,40036,9813,"29,415",31113,21516
2013,"...Industrial and refractory machinery mechanics",332142,322465,9677,"50,350",50482,41142
2013,"...Optometrists",25610,16298,9312,"103,805",120521,96186
2013,"...Parts salespersons",82536,73360,9176,"33,375",34231,27467
2013,"...Other installation, maintenance, and repair workers, including wind turbine service technicians",168658,159562,9096,"36,654",37008,28922
2013,"Agricultural and food science technicians",24559,15509,9050,"42,576",45910,39464
2013,"...Radiation therapists",14694,5731,8963,"75,639",84219,68886
2013,"...Occupational therapy assistants and aides",10875,1945,8930,"48,814",50311,48606
2013,"...Automotive service technicians and mechanics",681551,672920,8631,"35,491",35523,31587
2013,"....Natural sciences managers",16766,8633,8133,"94,448",121164,85416
2013,"...Jewelers and precious stone and metal workers",26929,18880,8049,"33,334",36494,24657
2013,"...Audiologists",10771,3078,7693,"76,440",82289,75339
2013,"...Transportation security screeners",21025,13467,7558,"41,104",40732,41751
2013,"Computer network architects",91709,84233,7476,"96,372",96549,94445
2013,"Chemical engineers",53119,45725,7394,"100,231",100632,95507
2013,"...Models, demonstrators, and product promoters",12335,4971,7364,"30,930",50929,27018
2013,"...Chiropractors",34499,27139,7360,"70,513",72468,60223
2013,"...Crushing, grinding, polishing, mixing, and blending workers",70478,63515,6963,"36,849",37709,32032
2013,"Environmental engineers",25988,19105,6883,"77,406",80413,72478
2013,"...Aircraft mechanics and service technicians",141341,134480,6861,"55,948",56690,45440
2013,"...Machine feeders and offbearers",21230,14507,6723,"25,667",30290,21911
2013,"Computer hardware engineers",51453,44773,6680,"91,967",95258,76236
2013,"....Gaming managers",17294,10632,6662,"51,221",52127,47845
2013,"Actuaries",23200,16642,6558,"112,191",116019,106759
2013,"...Construction and building inspectors",67510,60968,6542,"52,318",53088,45705
2013,"...First-line supervisors of farming, fishing, and forestry workers",50720,44245,6475,"38,025",39581,31456
2013,"....Legislators",14815,8375,6440,"67,155",71530,65325
2013,"Surveyors, cartographers, and photogrammetrists",31315,24924,6391,"59,354",61190,50876
2013,"Agricultural and food scientists",22154,15764,6390,"60,826",62867,53805
2013,"Urban and regional planners",17145,10824,6321,"67,392",71693,62266
2013,"Judicial law clerks",11115,4920,6195,"55,545",54778,55883
2013,"Economists",20957,14810,6147,"105,834",120076,82427
2013,"...Tour and travel guides",15628,9572,6056,"29,404",29043,30413
2013,"...Health diagnosing and treating practitioners, all other",10251,4314,5937,"48,175",52729,42025
2013,"...Recreational therapists",9144,3265,5879,"41,923",42004,41782
2013,"...Air traffic controllers and airfield operations specialists",33382,27511,5871,"77,014",80236,65873
2013,"...Transportation attendants, except flight attendants",11113,5383,5730,"30,763",41630,22992
2013,"...Morticians, undertakers, and funeral directors",28279,22551,5728,"47,219",51129,31023
2013,"Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators",68484,62777,5707,"50,514",50378,52954
2013,"...Refuse and recyclable material collectors",73441,67859,5582,"29,333",30057,22209
2013,"...Molders and molding machine setters, operators, and tenders, metal and plastic",35447,29875,5572,"36,377",38294,30011
2013,"...Telecommunications line installers and repairers",118663,113126,5537,"48,906",47527,55989
2013,"...Textile winding, twisting, and drawing out machine setters, operators, and tenders",9594,4129,5465,"25,266",24567,25449
2013,"...Paper goods machine setters, operators, and tenders",26459,21034,5425,"39,446",45905,25134
2013,"Financial examiners",10413,5134,5279,"71,779",77263,60411
2013,"...Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38305,33030,5275,"31,843",32823,25041
2013,"...Computer control programmers and operators",72368,67129,5239,"41,755",42021,36468
2013,"...Cargo and freight agents",16189,10989,5200,"42,040",42852,40984
2013,"Biological technicians",13985,8785,5200,"45,798",46823,41644
2013,"...Pipelayers, plumbers, pipefitters, and steamfitters",397714,392587,5127,"43,340",43411,41047
2013,"...Chemical processing machine setters, operators, and tenders",49659,44589,5070,"50,608",51669,38087
2013,"Announcers",25670,20703,4967,"40,913",40829,41437
2013,"Entertainers and performers, sports and related workers, all other",14230,9381,4849,"40,633",42245,32475
2013,"...Transportation inspectors",35783,30980,4803,"55,959",58158,45220
2013,"...Extruding, forming, pressing, and compacting machine setters, operators, and tenders",21803,17029,4774,"34,475",36743,24444
